,top,bottom,dress,outer,vest,outer2
47,purple_none_longsleeve,gray_none_longpants,,brown_none_coat,,
48,purple_none_longsleeve,gray_none_longpants,,black_none_parka,,
49,purple_none_longsleeve,gray_none_longpants,,white_none_parka,,
50,purple_none_longsleeve,white_none_longskirt,,gray_none_coat,,
51,purple_none_longsleeve,white_none_longskirt,,black_none_coat,,
52,purple_none_longsleeve,white_none_longskirt,,brown_none_coat,,
53,purple_none_longsleeve,white_none_longskirt,,black_none_parka,,
54,purple_none_longsleeve,white_none_longskirt,,white_none_parka,,
55,purple_none_longsleeve,blue_none_longskirt,,gray_none_coat,,
56,purple_none_longsleeve,blue_none_longskirt,,black_none_coat,,
57,purple_none_longsleeve,blue_none_longskirt,,brown_none_coat,,
58,purple_none_longsleeve,blue_none_longskirt,,black_none_parka,,
59,purple_none_longsleeve,blue_none_longskirt,,white_none_parka,,
60,purple_none_longsleeve,white_none_longpants,,gray_none_coat,,
61,purple_none_longsleeve,white_none_longpants,,black_none_coat,,
62,purple_none_longsleeve,white_none_longpants,,brown_none_coat,,
63,purple_none_longsleeve,white_none_longpants,,black_none_parka,,
64,purple_none_longsleeve,white_none_longpants,,white_none_parka,,
65,black_none_longsleeve,beige_none_longskirt,,gray_none_coat,,
66,black_none_longsleeve,beige_none_longskirt,,black_none_coat,,
67,black_none_longsleeve,beige_none_longskirt,,brown_none_coat,,
68,black_none_longsleeve,beige_none_longskirt,,black_none_parka,,
69,black_none_longsleeve,beige_none_longskirt,,white_none_parka,,
70,black_none_longsleeve,lightblue_none_longpants,,gray_none_coat,,
71,black_none_longsleeve,lightblue_none_longpants,,black_none_coat,,
72,black_none_longsleeve,lightblue_none_longpants,,brown_none_coat,,
73,black_none_longsleeve,lightblue_none_longpants,,black_none_parka,,
74,black_none_longsleeve,lightblue_none_longpants,,white_none_parka,,
75,black_none_longsleeve,black_none_adidaslongpants,,gray_none_coat,,
76,black_none_longsleeve,black_none_adidaslongpants,,black_none_coat,,
77,black_none_longsleeve,black_none_adidaslongpants,,brown_none_coat,,
78,black_none_longsleeve,black_none_adidaslongpants,,black_none_parka,,
79,black_none_longsleeve,black_none_adidaslongpants,,white_none_parka,,
80,black_none_longsleeve,black_none_longskirt,,gray_none_coat,,
81,black_none_longsleeve,black_none_longskirt,,black_none_coat,,
82,black_none_longsleeve,black_none_longskirt,,brown_none_coat,,
83,black_none_longsleeve,black_none_longskirt,,black_none_parka,,
84,black_none_longsleeve,black_none_longskirt,,white_none_parka,,
85,black_none_longsleeve,beige_none_longpants,,gray_none_coat,,
86,black_none_longsleeve,beige_none_longpants,,black_none_coat,,
87,black_none_longsleeve,beige_none_longpants,,brown_none_coat,,
88,black_none_longsleeve,beige_none_longpants,,black_none_parka,,
89,black_none_longsleeve,beige_none_longpants,,white_none_parka,,
90,black_none_longsleeve,black_none_longpants,,gray_none_coat,,
91,black_none_longsleeve,black_none_longpants,,black_none_coat,,
92,black_none_longsleeve,black_none_longpants,,brown_none_coat,,
93,black_none_longsleeve,black_none_longpants,,black_none_parka,,
94,black_none_longsleeve,black_none_longpants,,white_none_parka,,
95,black_none_longsleeve,black_none_joggerpants,,gray_none_coat,,
96,black_none_longsleeve,black_none_joggerpants,,black_none_coat,,
97,black_none_longsleeve,black_none_joggerpants,,brown_none_coat,,
98,black_none_longsleeve,black_none_joggerpants,,black_none_parka,,
99,black_none_longsleeve,black_none_joggerpants,,white_none_parka,,
100,black_none_longsleeve,lightblue_none_longskirt,,gray_none_coat,,
101,black_none_longsleeve,lightblue_none_longskirt,,black_none_coat,,
102,black_none_longsleeve,lightblue_none_longskirt,,brown_none_coat,,
103,black_none_longsleeve,lightblue_none_longskirt,,black_none_parka,,
104,black_none_longsleeve,lightblue_none_longskirt,,white_none_parka,,
105,black_none_longsleeve,blue_none_longpants,,gray_none_coat,,
106,black_none_longsleeve,blue_none_longpants,,black_none_coat,,
107,black_none_longsleeve,blue_none_longpants,,brown_none_coat,,
108,black_none_longsleeve,blue_none_longpants,,black_none_parka,,
109,black_none_longsleeve,blue_none_longpants,,white_none_parka,,
110,black_none_longsleeve,gray_none_longpants,,gray_none_coat,,
111,black_none_longsleeve,gray_none_longpants,,black_none_coat,,
112,black_none_longsleeve,gray_none_longpants,,brown_none_coat,,
113,black_none_longsleeve,gray_none_longpants,,black_none_parka,,
114,black_none_longsleeve,gray_none_longpants,,white_none_parka,,
115,black_none_longsleeve,white_none_longskirt,,gray_none_coat,,
116,black_none_longsleeve,white_none_longskirt,,black_none_coat,,
117,black_none_longsleeve,white_none_longskirt,,brown_none_coat,,
118,black_none_longsleeve,white_none_longskirt,,black_none_parka,,
119,black_none_longsleeve,white_none_longskirt,,white_none_parka,,
120,black_none_longsleeve,blue_none_longskirt,,gray_none_coat,,
121,black_none_longsleeve,blue_none_longskirt,,black_none_coat,,
122,black_none_longsleeve,blue_none_longskirt,,brown_none_coat,,
123,black_none_longsleeve,blue_none_longskirt,,black_none_parka,,
124,black_none_longsleeve,blue_none_longskirt,,white_none_parka,,
125,black_none_longsleeve,white_none_longpants,,gray_none_coat,,
126,black_none_longsleeve,white_none_longpants,,black_none_coat,,
127,black_none_longsleeve,white_none_longpants,,brown_none_coat,,
128,black_none_longsleeve,white_none_longpants,,black_none_parka,,
129,black_none_longsleeve,white_none_longpants,,white_none_parka,,
130,black_check_longshirt,beige_none_longskirt,,gray_none_coat,,
131,black_check_longshirt,beige_none_longskirt,,black_none_coat,,
132,black_check_longshirt,beige_none_longskirt,,brown_none_coat,,
133,black_check_longshirt,beige_none_longskirt,,black_none_parka,,
134,black_check_longshirt,beige_none_longskirt,,white_none_parka,,
135,black_check_longshirt,lightblue_none_longpants,,gray_none_coat,,
136,black_check_longshirt,lightblue_none_longpants,,black_none_coat,,
137,black_check_longshirt,lightblue_none_longpants,,brown_none_coat,,
138,black_check_longshirt,lightblue_none_longpants,,black_none_parka,,
139,black_check_longshirt,lightblue_none_longpants,,white_none_parka,,
140,black_check_longshirt,black_none_adidaslongpants,,gray_none_coat,,
141,black_check_longshirt,black_none_adidaslongpants,,black_none_coat,,
142,black_check_longshirt,black_none_adidaslongpants,,brown_none_coat,,
143,black_check_longshirt,black_none_adidaslongpants,,black_none_parka,,
144,black_check_longshirt,black_none_adidaslongpants,,white_none_parka,,
145,black_check_longshirt,black_none_longskirt,,gray_none_coat,,
146,black_check_longshirt,black_none_longskirt,,black_none_coat,,
147,black_check_longshirt,black_none_longskirt,,brown_none_coat,,
148,black_check_longshirt,black_none_longskirt,,black_none_parka,,
149,black_check_longshirt,black_none_longskirt,,white_none_parka,,
150,black_check_longshirt,beige_none_longpants,,gray_none_coat,,
151,black_check_longshirt,beige_none_longpants,,black_none_coat,,
152,black_check_longshirt,beige_none_longpants,,brown_none_coat,,
153,black_check_longshirt,beige_none_longpants,,black_none_parka,,
154,black_check_longshirt,beige_none_longpants,,white_none_parka,,
155,black_check_longshirt,black_none_longpants,,gray_none_coat,,
156,black_check_longshirt,black_none_longpants,,black_none_coat,,
157,black_check_longshirt,black_none_longpants,,brown_none_coat,,
158,black_check_longshirt,black_none_longpants,,black_none_parka,,
159,black_check_longshirt,black_none_longpants,,white_none_parka,,
160,black_check_longshirt,black_none_joggerpants,,gray_none_coat,,
161,black_check_longshirt,black_none_joggerpants,,black_none_coat,,
162,black_check_longshirt,black_none_joggerpants,,brown_none_coat,,
163,black_check_longshirt,black_none_joggerpants,,black_none_parka,,
164,black_check_longshirt,black_none_joggerpants,,white_none_parka,,
165,black_check_longshirt,lightblue_none_longskirt,,gray_none_coat,,
166,black_check_longshirt,lightblue_none_longskirt,,black_none_coat,,
167,black_check_longshirt,lightblue_none_longskirt,,brown_none_coat,,
168,black_check_longshirt,lightblue_none_longskirt,,black_none_parka,,
169,black_check_longshirt,lightblue_none_longskirt,,white_none_parka,,
170,black_check_longshirt,blue_none_longpants,,gray_none_coat,,
171,black_check_longshirt,blue_none_longpants,,black_none_coat,,
172,black_check_longshirt,blue_none_longpants,,brown_none_coat,,
173,black_check_longshirt,blue_none_longpants,,black_none_parka,,
174,black_check_longshirt,blue_none_longpants,,white_none_parka,,
175,black_check_longshirt,gray_none_longpants,,gray_none_coat,,
176,black_check_longshirt,gray_none_longpants,,black_none_coat,,
177,black_check_longshirt,gray_none_longpants,,brown_none_coat,,
178,black_check_longshirt,gray_none_longpants,,black_none_parka,,
179,black_check_longshirt,gray_none_longpants,,white_none_parka,,
180,black_check_longshirt,white_none_longskirt,,gray_none_coat,,
181,black_check_longshirt,white_none_longskirt,,black_none_coat,,
182,black_check_longshirt,white_none_longskirt,,brown_none_coat,,
183,black_check_longshirt,white_none_longskirt,,black_none_parka,,
184,black_check_longshirt,white_none_longskirt,,white_none_parka,,
185,black_check_longshirt,blue_none_longskirt,,gray_none_coat,,
186,black_check_longshirt,blue_none_longskirt,,black_none_coat,,
187,black_check_longshirt,blue_none_longskirt,,brown_none_coat,,
188,black_check_longshirt,blue_none_longskirt,,black_none_parka,,
189,black_check_longshirt,blue_none_longskirt,,white_none_parka,,
190,black_check_longshirt,white_none_longpants,,gray_none_coat,,
191,black_check_longshirt,white_none_longpants,,black_none_coat,,
192,black_check_longshirt,white_none_longpants,,brown_none_coat,,
193,black_check_longshirt,white_none_longpants,,black_none_parka,,
194,black_check_longshirt,white_none_longpants,,white_none_parka,,
195,white_none_longshirt,beige_none_longskirt,,gray_none_coat,,
196,white_none_longshirt,beige_none_longskirt,,black_none_coat,,
197,white_none_longshirt,beige_none_longskirt,,brown_none_coat,,
198,white_none_longshirt,beige_none_longskirt,,black_none_parka,,
199,white_none_longshirt,beige_none_longskirt,,white_none_parka,,
200,white_none_longshirt,lightblue_none_longpants,,gray_none_coat,,
201,white_none_longshirt,lightblue_none_longpants,,black_none_coat,,
202,white_none_longshirt,lightblue_none_longpants,,brown_none_coat,,
203,white_none_longshirt,lightblue_none_longpants,,black_none_parka,,
204,white_none_longshirt,lightblue_none_longpants,,white_none_parka,,
205,white_none_longshirt,black_none_adidaslongpants,,gray_none_coat,,
206,white_none_longshirt,black_none_adidaslongpants,,black_none_coat,,
207,white_none_longshirt,black_none_adidaslongpants,,brown_none_coat,,
208,white_none_longshirt,black_none_adidaslongpants,,black_none_parka,,
209,white_none_longshirt,black_none_adidaslongpants,,white_none_parka,,
210,white_none_longshirt,black_none_longskirt,,gray_none_coat,,
211,white_none_longshirt,black_none_longskirt,,black_none_coat,,
212,white_none_longshirt,black_none_longskirt,,brown_none_coat,,
213,white_none_longshirt,black_none_longskirt,,black_none_parka,,
214,white_none_longshirt,black_none_longskirt,,white_none_parka,,
215,white_none_longshirt,beige_none_longpants,,gray_none_coat,,
216,white_none_longshirt,beige_none_longpants,,black_none_coat,,
217,white_none_longshirt,beige_none_longpants,,brown_none_coat,,
218,white_none_longshirt,beige_none_longpants,,black_none_parka,,
219,white_none_longshirt,beige_none_longpants,,white_none_parka,,
220,white_none_longshirt,black_none_longpants,,gray_none_coat,,
221,white_none_longshirt,black_none_longpants,,black_none_coat,,
222,white_none_longshirt,black_none_longpants,,brown_none_coat,,
223,white_none_longshirt,black_none_longpants,,black_none_parka,,
224,white_none_longshirt,black_none_longpants,,white_none_parka,,
225,white_none_longshirt,black_none_joggerpants,,gray_none_coat,,
226,white_none_longshirt,black_none_joggerpants,,black_none_coat,,
227,white_none_longshirt,black_none_joggerpants,,brown_none_coat,,
228,white_none_longshirt,black_none_joggerpants,,black_none_parka,,
229,white_none_longshirt,black_none_joggerpants,,white_none_parka,,
230,white_none_longshirt,lightblue_none_longskirt,,gray_none_coat,,
231,white_none_longshirt,lightblue_none_longskirt,,black_none_coat,,
232,white_none_longshirt,lightblue_none_longskirt,,brown_none_coat,,
233,white_none_longshirt,lightblue_none_longskirt,,black_none_parka,,
234,white_none_longshirt,lightblue_none_longskirt,,white_none_parka,,
235,white_none_longshirt,blue_none_longpants,,gray_none_coat,,
236,white_none_longshirt,blue_none_longpants,,black_none_coat,,
237,white_none_longshirt,blue_none_longpants,,brown_none_coat,,
238,white_none_longshirt,blue_none_longpants,,black_none_parka,,
239,white_none_longshirt,blue_none_longpants,,white_none_parka,,
240,white_none_longshirt,gray_none_longpants,,gray_none_coat,,
241,white_none_longshirt,gray_none_longpants,,black_none_coat,,
242,white_none_longshirt,gray_none_longpants,,brown_none_coat,,
243,white_none_longshirt,gray_none_longpants,,black_none_parka,,
244,white_none_longshirt,gray_none_longpants,,white_none_parka,,
245,white_none_longshirt,white_none_longskirt,,gray_none_coat,,
246,white_none_longshirt,white_none_longskirt,,black_none_coat,,
247,white_none_longshirt,white_none_longskirt,,brown_none_coat,,
248,white_none_longshirt,white_none_longskirt,,black_none_parka,,
249,white_none_longshirt,white_none_longskirt,,white_none_parka,,
250,white_none_longshirt,blue_none_longskirt,,gray_none_coat,,
251,white_none_longshirt,blue_none_longskirt,,black_none_coat,,
252,white_none_longshirt,blue_none_longskirt,,brown_none_coat,,
253,white_none_longshirt,blue_none_longskirt,,black_none_parka,,
254,white_none_longshirt,blue_none_longskirt,,white_none_parka,,
255,white_none_longshirt,white_none_longpants,,gray_none_coat,,
256,white_none_longshirt,white_none_longpants,,black_none_coat,,
257,white_none_longshirt,white_none_longpants,,brown_none_coat,,
258,white_none_longshirt,white_none_longpants,,black_none_parka,,
259,white_none_longshirt,white_none_longpants,,white_none_parka,,
260,blue_none_longsleeve,beige_none_longskirt,,gray_none_coat,,
261,blue_none_longsleeve,beige_none_longskirt,,black_none_coat,,
262,blue_none_longsleeve,beige_none_longskirt,,brown_none_coat,,
263,blue_none_longsleeve,beige_none_longskirt,,black_none_parka,,
264,blue_none_longsleeve,beige_none_longskirt,,white_none_parka,,
265,blue_none_longsleeve,lightblue_none_longpants,,gray_none_coat,,
266,blue_none_longsleeve,lightblue_none_longpants,,black_none_coat,,
267,blue_none_longsleeve,lightblue_none_longpants,,brown_none_coat,,
268,blue_none_longsleeve,lightblue_none_longpants,,black_none_parka,,
269,blue_none_longsleeve,lightblue_none_longpants,,white_none_parka,,
270,blue_none_longsleeve,black_none_adidaslongpants,,gray_none_coat,,
271,blue_none_longsleeve,black_none_adidaslongpants,,black_none_coat,,
272,blue_none_longsleeve,black_none_adidaslongpants,,brown_none_coat,,
273,blue_none_longsleeve,black_none_adidaslongpants,,black_none_parka,,
274,blue_none_longsleeve,black_none_adidaslongpants,,white_none_parka,,
275,blue_none_longsleeve,black_none_longskirt,,gray_none_coat,,
276,blue_none_longsleeve,black_none_longskirt,,black_none_coat,,
277,blue_none_longsleeve,black_none_longskirt,,brown_none_coat,,
278,blue_none_longsleeve,black_none_longskirt,,black_none_parka,,
279,blue_none_longsleeve,black_none_longskirt,,white_none_parka,,
280,blue_none_longsleeve,beige_none_longpants,,gray_none_coat,,
281,blue_none_longsleeve,beige_none_longpants,,black_none_coat,,
282,blue_none_longsleeve,beige_none_longpants,,brown_none_coat,,
283,blue_none_longsleeve,beige_none_longpants,,black_none_parka,,
284,blue_none_longsleeve,beige_none_longpants,,white_none_parka,,
285,blue_none_longsleeve,black_none_longpants,,gray_none_coat,,
286,blue_none_longsleeve,black_none_longpants,,black_none_coat,,
287,blue_none_longsleeve,black_none_longpants,,brown_none_coat,,
288,blue_none_longsleeve,black_none_longpants,,black_none_parka,,
289,blue_none_longsleeve,black_none_longpants,,white_none_parka,,
290,blue_none_longsleeve,black_none_joggerpants,,gray_none_coat,,
291,blue_none_longsleeve,black_none_joggerpants,,black_none_coat,,
292,blue_none_longsleeve,black_none_joggerpants,,brown_none_coat,,
293,blue_none_longsleeve,black_none_joggerpants,,black_none_parka,,
294,blue_none_longsleeve,black_none_joggerpants,,white_none_parka,,
295,blue_none_longsleeve,lightblue_none_longskirt,,gray_none_coat,,
296,blue_none_longsleeve,lightblue_none_longskirt,,black_none_coat,,
297,blue_none_longsleeve,lightblue_none_longskirt,,brown_none_coat,,
298,blue_none_longsleeve,lightblue_none_longskirt,,black_none_parka,,
299,blue_none_longsleeve,lightblue_none_longskirt,,white_none_parka,,
300,blue_none_longsleeve,blue_none_longpants,,gray_none_coat,,
301,blue_none_longsleeve,blue_none_longpants,,black_none_coat,,
302,blue_none_longsleeve,blue_none_longpants,,brown_none_coat,,
303,blue_none_longsleeve,blue_none_longpants,,black_none_parka,,
304,blue_none_longsleeve,blue_none_longpants,,white_none_parka,,
305,blue_none_longsleeve,gray_none_longpants,,gray_none_coat,,
306,blue_none_longsleeve,gray_none_longpants,,black_none_coat,,
307,blue_none_longsleeve,gray_none_longpants,,brown_none_coat,,
308,blue_none_longsleeve,gray_none_longpants,,black_none_parka,,
309,blue_none_longsleeve,gray_none_longpants,,white_none_parka,,
310,blue_none_longsleeve,white_none_longskirt,,gray_none_coat,,
311,blue_none_longsleeve,white_none_longskirt,,black_none_coat,,
312,blue_none_longsleeve,white_none_longskirt,,brown_none_coat,,
313,blue_none_longsleeve,white_none_longskirt,,black_none_parka,,
314,blue_none_longsleeve,white_none_longskirt,,white_none_parka,,
315,blue_none_longsleeve,blue_none_longskirt,,gray_none_coat,,
316,blue_none_longsleeve,blue_none_longskirt,,black_none_coat,,
317,blue_none_longsleeve,blue_none_longskirt,,brown_none_coat,,
318,blue_none_longsleeve,blue_none_longskirt,,black_none_parka,,
319,blue_none_longsleeve,blue_none_longskirt,,white_none_parka,,
320,blue_none_longsleeve,white_none_longpants,,gray_none_coat,,
321,blue_none_longsleeve,white_none_longpants,,black_none_coat,,
322,blue_none_longsleeve,white_none_longpants,,brown_none_coat,,
323,blue_none_longsleeve,white_none_longpants,,black_none_parka,,
324,blue_none_longsleeve,white_none_longpants,,white_none_parka,,
325,gray_none_longneat,beige_none_longskirt,,gray_none_coat,,
326,gray_none_longneat,beige_none_longskirt,,black_none_coat,,
327,gray_none_longneat,beige_none_longskirt,,brown_none_coat,,
328,gray_none_longneat,beige_none_longskirt,,black_none_parka,,
329,gray_none_longneat,beige_none_longskirt,,white_none_parka,,
330,gray_none_longneat,lightblue_none_longpants,,gray_none_coat,,
331,gray_none_longneat,lightblue_none_longpants,,black_none_coat,,
332,gray_none_longneat,lightblue_none_longpants,,brown_none_coat,,
333,gray_none_longneat,lightblue_none_longpants,,black_none_parka,,
334,gray_none_longneat,lightblue_none_longpants,,white_none_parka,,
335,gray_none_longneat,black_none_adidaslongpants,,gray_none_coat,,
336,gray_none_longneat,black_none_adidaslongpants,,black_none_coat,,
337,gray_none_longneat,black_none_adidaslongpants,,brown_none_coat,,
338,gray_none_longneat,black_none_adidaslongpants,,black_none_parka,,
339,gray_none_longneat,black_none_adidaslongpants,,white_none_parka,,
340,gray_none_longneat,black_none_longskirt,,gray_none_coat,,
341,gray_none_longneat,black_none_longskirt,,black_none_coat,,
342,gray_none_longneat,black_none_longskirt,,brown_none_coat,,
343,gray_none_longneat,black_none_longskirt,,black_none_parka,,
344,gray_none_longneat,black_none_longskirt,,white_none_parka,,
345,gray_none_longneat,beige_none_longpants,,gray_none_coat,,
346,gray_none_longneat,beige_none_longpants,,black_none_coat,,
347,gray_none_longneat,beige_none_longpants,,brown_none_coat,,
348,gray_none_longneat,beige_none_longpants,,black_none_parka,,
349,gray_none_longneat,beige_none_longpants,,white_none_parka,,
350,gray_none_longneat,black_none_longpants,,gray_none_coat,,
351,gray_none_longneat,black_none_longpants,,black_none_coat,,
352,gray_none_longneat,black_none_longpants,,brown_none_coat,,
353,gray_none_longneat,black_none_longpants,,black_none_parka,,
354,gray_none_longneat,black_none_longpants,,white_none_parka,,
355,gray_none_longneat,black_none_joggerpants,,gray_none_coat,,
356,gray_none_longneat,black_none_joggerpants,,black_none_coat,,
357,gray_none_longneat,black_none_joggerpants,,brown_none_coat,,
358,gray_none_longneat,black_none_joggerpants,,black_none_parka,,
359,gray_none_longneat,black_none_joggerpants,,white_none_parka,,
360,gray_none_longneat,lightblue_none_longskirt,,gray_none_coat,,
361,gray_none_longneat,lightblue_none_longskirt,,black_none_coat,,
362,gray_none_longneat,lightblue_none_longskirt,,brown_none_coat,,
363,gray_none_longneat,lightblue_none_longskirt,,black_none_parka,,
364,gray_none_longneat,lightblue_none_longskirt,,white_none_parka,,
365,gray_none_longneat,blue_none_longpants,,gray_none_coat,,
366,gray_none_longneat,blue_none_longpants,,black_none_coat,,
367,gray_none_longneat,blue_none_longpants,,brown_none_coat,,
368,gray_none_longneat,blue_none_longpants,,black_none_parka,,
369,gray_none_longneat,blue_none_longpants,,white_none_parka,,
370,gray_none_longneat,gray_none_longpants,,gray_none_coat,,
371,gray_none_longneat,gray_none_longpants,,black_none_coat,,
372,gray_none_longneat,gray_none_longpants,,brown_none_coat,,
373,gray_none_longneat,gray_none_longpants,,black_none_parka,,
374,gray_none_longneat,gray_none_longpants,,white_none_parka,,
375,gray_none_longneat,white_none_longskirt,,gray_none_coat,,
376,gray_none_longneat,white_none_longskirt,,black_none_coat,,
377,gray_none_longneat,white_none_longskirt,,brown_none_coat,,
378,gray_none_longneat,white_none_longskirt,,black_none_parka,,
379,gray_none_longneat,white_none_longskirt,,white_none_parka,,
380,gray_none_longneat,blue_none_longskirt,,gray_none_coat,,
381,gray_none_longneat,blue_none_longskirt,,black_none_coat,,
382,gray_none_longneat,blue_none_longskirt,,brown_none_coat,,
383,gray_none_longneat,blue_none_longskirt,,black_none_parka,,
384,gray_none_longneat,blue_none_longskirt,,white_none_parka,,
385,gray_none_longneat,white_none_longpants,,gray_none_coat,,
386,gray_none_longneat,white_none_longpants,,black_none_coat,,
387,gray_none_longneat,white_none_longpants,,brown_none_coat,,
388,gray_none_longneat,white_none_longpants,,black_none_parka,,
389,gray_none_longneat,white_none_longpants,,white_none_parka,,
390,white_none_longsleeve,beige_none_longskirt,,gray_none_coat,,
391,white_none_longsleeve,beige_none_longskirt,,black_none_coat,,
392,white_none_longsleeve,beige_none_longskirt,,brown_none_coat,,
393,white_none_longsleeve,beige_none_longskirt,,black_none_parka,,
394,white_none_longsleeve,beige_none_longskirt,,white_none_parka,,
395,white_none_longsleeve,lightblue_none_longpants,,gray_none_coat,,
396,white_none_longsleeve,lightblue_none_longpants,,black_none_coat,,
397,white_none_longsleeve,lightblue_none_longpants,,brown_none_coat,,
398,white_none_longsleeve,lightblue_none_longpants,,black_none_parka,,
399,white_none_longsleeve,lightblue_none_longpants,,white_none_parka,,
400,white_none_longsleeve,black_none_adidaslongpants,,gray_none_coat,,
401,white_none_longsleeve,black_none_adidaslongpants,,black_none_coat,,
402,white_none_longsleeve,black_none_adidaslongpants,,brown_none_coat,,
403,white_none_longsleeve,black_none_adidaslongpants,,black_none_parka,,
404,white_none_longsleeve,black_none_adidaslongpants,,white_none_parka,,
405,white_none_longsleeve,black_none_longskirt,,gray_none_coat,,
406,white_none_longsleeve,black_none_longskirt,,black_none_coat,,
407,white_none_longsleeve,black_none_longskirt,,brown_none_coat,,
408,white_none_longsleeve,black_none_longskirt,,black_none_parka,,
409,white_none_longsleeve,black_none_longskirt,,white_none_parka,,
410,white_none_longsleeve,beige_none_longpants,,gray_none_coat,,
411,white_none_longsleeve,beige_none_longpants,,black_none_coat,,
412,white_none_longsleeve,beige_none_longpants,,brown_none_coat,,
413,white_none_longsleeve,beige_none_longpants,,black_none_parka,,
414,white_none_longsleeve,beige_none_longpants,,white_none_parka,,
415,white_none_longsleeve,black_none_longpants,,gray_none_coat,,
416,white_none_longsleeve,black_none_longpants,,black_none_coat,,
417,white_none_longsleeve,black_none_longpants,,brown_none_coat,,
418,white_none_longsleeve,black_none_longpants,,black_none_parka,,
419,white_none_longsleeve,black_none_longpants,,white_none_parka,,
420,white_none_longsleeve,black_none_joggerpants,,gray_none_coat,,
421,white_none_longsleeve,black_none_joggerpants,,black_none_coat,,
422,white_none_longsleeve,black_none_joggerpants,,brown_none_coat,,
423,white_none_longsleeve,black_none_joggerpants,,black_none_parka,,
424,white_none_longsleeve,black_none_joggerpants,,white_none_parka,,
425,white_none_longsleeve,lightblue_none_longskirt,,gray_none_coat,,
426,white_none_longsleeve,lightblue_none_longskirt,,black_none_coat,,
427,white_none_longsleeve,lightblue_none_longskirt,,brown_none_coat,,
428,white_none_longsleeve,lightblue_none_longskirt,,black_none_parka,,
429,white_none_longsleeve,lightblue_none_longskirt,,white_none_parka,,
430,white_none_longsleeve,blue_none_longpants,,gray_none_coat,,
431,white_none_longsleeve,blue_none_longpants,,black_none_coat,,
432,white_none_longsleeve,blue_none_longpants,,brown_none_coat,,
433,white_none_longsleeve,blue_none_longpants,,black_none_parka,,
434,white_none_longsleeve,blue_none_longpants,,white_none_parka,,
435,white_none_longsleeve,gray_none_longpants,,gray_none_coat,,
